settlement_id,name,type,culture_id,owner,description
ocs_hall,Ocs Hall,Town,7,The Baron Belgir Of The Dey Fortes,"Ocs Hall is one of the few towns in the 7n kingdom that was founded after the seizure of the land from the Empire. This valley was once an isolated holdout of 2ns, centered on the Llyn Modris, a lake in a volcanic caldera that was said to be the  seat of a giant. This land was conquered by the 7n warlord Oca, who also gave his name to the nearby Ocspool lake. The 2n tribes were driven inland, and took their legends with them."
ostican,Ostican,Town,7,The Baron Hecard,"Ostican was a minor imperial port that became a haven for seafarers of the northern oceans. Many were talented corsairs, employed by imperial factions to harry their foes during the latter empire's intermittent civil wars. Indeed, the some of the first 7ns to come to Calradia's shores settled in the back alleys of this town, and no doubt sent word to their kinsmen of the riches to be had here should anyone invade in earnest."
pravend,Pravend,Town,7,The Baron Aldric Of House Dey Tihr,"The city, formerly known as Paravenos, was the second major colony founded by Calradios the Great and the Calradians after their arrival on the continent. The town succeeded Charasea as the capital of the Calradic Empire, being so for centuries before the center of gravity of the Empire moved eastward. Nevertheless, Paravenos retained its primacy as the economic center of the West. When Osric Iron-Arm invaded, he recognized Paravenos would be far more valuable as a seat of power than as simply as a source of loot, and negotiated its surrender with local senators. The city subsequently passed under the control of the dey Tihr, a cadet branch of the ruling clan of 7, the dey Meroc."
rovalt,Rovalt,Town,7,The Baron Servic,"Rovalatys, in the mountains of the Ebor peninsula, was never fully an imperial town. Nordic migrants, drawn to the region by rumors of riches to be made prospecting for silver or hunting for furs, long outnumbered Calradians even before the 7n invasion. The 7ns too recognized its potential, and despite its harsh winters this land is among the more populous regions of the kingdom, with bountiful fields in the valleys of the mountains feeding the constant flow of settlers from the south drawn here by their hunger for wealth."
sargot,Sargot,Town,7,King Derthert,Sargot       Settlement Information  Type Town   Kingdom 7   Villages CaliocEtirburg   Sieges with... Battering RamLaddersTowers   Port No    Sargot is a town in 7 owned by King Derthert of House dey Meroc.
amprela,Amprela,Town,10,Archon Encurion,Amprela       Settlement Information  Type Town   Kingdom Northern Empire   Villages AvasintonBoreagora   Sieges with... Battering RamLaddersTowers   Port No    Amprela is a town in the Northern Empire owned by Archon Encurion of clan Impestores. The villages of Avasinton and Boreagora are bound to the town.
argoron,Argoron,Town,10,Emperor Lucon,"The city of Argoron sits where the cold, slow moving Nevys River meets Lake Laconis. This was once the land of the Laconians, who saw the Empire as a protector against the more warlike Palaic peoples. They welcomed and intermarried with imperial settlers and their chiefs joined the Senate, and their old language and customs faded away.[1]"
diathma,Diathma,Town,10,Emperor Lucon,"Diathma, the city of the Divine Decree, was erected by an imperial general on the ruins of a Dryatic shrine overlooking Lake Laconis. It was the last stand of the Dryatics, the northernmost of the Palaic peoples, who rebelled against the Empire and were overcome. According to legend they were pushed back into the shallows of the lake and fought until they were exhausted and the bloody waters engulfed them.[1]"
epicrotea,Epicrotea,Town,10,The Archon Manteos,"Epicrotea, the 'All-Conquering,' was named after the eccentric long-haired military genius Sarapios, who crushed a 2n host and secured the lands west of Lake Laconis for the Empire. Its towers, overlooking the Miron River, have frequently been a northerner's first glimpse of the awesome and terrible force to their south.[1]"
myzea,Myzea,Town,10,The Archon Gyphor,"Myzea       Settlement Information  Type Town   Kingdom Northern Empire   Villages Orthra, Samatha, Vealos   Sieges with... Battering Ram, Ladders, and Towers   Port No    Myzea is a town of the Northern Calradic Empire owned by the archon Gyphor of the Dolentos clan."
saneopa,Saneopa,Town,10,The Archon Penton,"Saneopa       Settlement Information  Type Town   Kingdom Northern Empire   Villages Crios, Enoisa   Port No    Saneopa is a town of the Kingdom of Northern Empire owned by the archon Penton of the Neretzes clan."
ain_baliq_castle,Ain Baliq Castle,Castle,1,Emir Awdhan,Ain Baliq Castle       Settlement Information  Type Castle   Kingdom 1   Villages Ain BaliqDeir Hawa    Ain Baliq Castle is a castle of the 1 owned by Emir Awdhan of the Banu Sarmal. The villages of Ain Baliq and Deir Hawa are bound to the castle.
barihal_castle,Barihal Castle,Castle,1,Emir Aqar,Barihal Castle       Settlement Information  Type Castle   Kingdom 1   Villages BarihalWadar    Barihal Castle is a castle of the 1 owned by Emir Aqar of the Banu Ruwaid. The villages of Barihal and Wadar are bound to the castle.
jamayeh_castle,Jamayeh Castle,Castle,1,Emir Suruq,Jamayeh Castle  Settlement Information  Type Castle   Kingdom 1   Villages Jamayeh and Hunab    Jamayeh Castle is a castle of the 1 Sultanate ruled by emir Suruq of the Banu Qaraz clan. The villages of Jamayeh and Hunab are bound to the castle.
medeni_castle,Medeni Castle,Castle,1,The Emir Adram,Medeni Castle  Settlement Information  Type Castle   Kingdom 1   Villages Medeni and Qidnar    Medeni Castle is a castle in the 1 Sultanate ruled by the emir Adram of the Banu Sarran. The villages of Medeni and Qidnar are bound to the castle.
sahel_castle,Sahel Castle,Castle,1,Emir Tais,Sahel Castle       Settlement Information  Type Castle   Kingdom 1   Villages SahelAsmait    Sahel Castle is a castle of the 1 owned by Emir Tais of the Banu Qild. The villages of Sahel and Asmait are bound to the castle.
shibal_zumr_castle,Shibal Zumr Castle,Castle,1,Emir Tais,Shibal Zumr Castle       Settlement Information  Type Castle   Kingdom 1   Villages Shibal ZumrLamesa    Shibal Zumr Castle is a castle of the 1 owned by Emir Tais of the Banu Qild. The villages of Shibal Zumr and Lamesa are bound to the castle.
tamnuh_castle,Tamnuh Castle,Castle,1,Emir Hashan,Tamnuh Castle       Settlement Information  Type Castle   Kingdom 1   Villages TamnuhKuqa    Tamnuh Castle is a castle of the 1 owned by Emir Hashan of the Banu Habbab. The villages of Tamnuh and Kuqa are bound to the castle.
tubilis_castle,Tubilis Castle,Castle,1,Sultan Unqid,"Tubilis Castle  Settlement Information  Type Castle   Kingdom 1   Villages Fanab , Tubilis    Tubilis Castle is a castle of the 1 Sultanate owned by Sultan Unqid.  The villages of Tubilis and Fanab are bound to the castle."
uqba_castle,Uqba Castle,Castle,1,Emir Awdhan,Uqba Castle       Settlement Information  Type Castle   Kingdom 1   Villages UqbaBunqaz    Uqba Castle is a castle of the 1 owned by Emir Awdhan of the Banu Sarmal. The villages of Uqba and Bunqaz are bound to the castle.
ab_comer_castle,Ab Comer Castle,Castle,2,Mormaer Maireas,Ab Comer Castle       Settlement Information  Type Castle   Kingdom 2   Villages Ab ComerInveth    Ab Comer Castle is a castle in 2 owned by Mormaer Maireas of clan fen Caernacht. The vilages of Ab Comer and Inveth are bound to the castle.
aster_castle,Aster Castle,Castle,2,The Chieftain Ergeon,"Aster Castle  Settlement Information  Type Castle   Kingdom 2   Villages Aster, Imlagh    Aster Castle is a castle within the lands of 2 owned by the chieftain Ergeon of Clan fen Derngil."
druimmor_castle,Druimmor Castle,Castle,2,The Chieftain Aradwyr,"Druimmor Castle  Settlement Information  Type Castle   Kingdom 2   Villages Druimmor, Tor Melina    Druimmor Castle is a castle of 2 owned by the chieftain Aradwyr of the Clan fen Eingal."
flintolg_castle,Flintolg Castle,Castle,2,The Chieftain Luichan,"Flintolg Castle  Settlement Information  Type Castle   Kingdom 2   Villages Flintolg, Glintor    Flintolg Castle is a castle within the lands of 2 owned by the chieftain Luichan of Clan fen Penraic."
llanoc_hen_castle,Llanoc Hen Castle,Castle,2,Mormaer Pryndor,Llanoc Hen Castle       Settlement Information  Type Castle   Kingdom 2   Villages Llanoc HenCantrec    Llanoc Hen Castle is a castle in 2 owned by Mormaer Pryndor of clan fen Morcar. The villages of Llanoc Hen and Cantrec are bound to the castle.
pendraic_castle,Pendraic Castle,Castle,2,The Mormaer,"Pendraic Castle  Settlement Information  Type Castle   Kingdom 2   Villages Pendraic, Lindorn    Pendraic Castle is a castle in 2 owned by the mormaer, Melidir of Clan fen Uvain. The villages of Pendraic and Lindorn are bound to the castle."
rhemtoil_castle,Rhemtoil Castle,Castle,2,High King Caladog,Rhemtoil Castle       Settlement Information  Type Castle   Kingdom 2   Villages RhemtoilClaig Ban    Rhemtoil Castle is a castle in 2 owned by High King Caladog of clan fen Gruffendoc. The villages of Rhemtoil and Claig Ban are bound to the castle.
uthelaim_castle,Uthelaim Castle,Castle,2,High King Caladog,Uthelaim Castle  Settlement Information  Type Castle   Kingdom 2   Villages UthelaimSeordas    Uthelaim Castle is a castle in 2 owned by High King Caladog of clan fen Gruffendoc. The villages of Uthelaim and Seordas are bound to the castle.
akiser_castle,Akiser Castle,Castle,4,Hurunag Beg,Akiser Castle       Settlement Information  Type Castle   Kingdom 4   Villages AkiserKamshar    Akiser Castle is a castle of the 4 owned by Hurunag Beg of the Tigrit. The villages of Akiser and Kamshar are bound to the town.
dinar_castle,Dinar Castle,Castle,4,Ilatar Beg,Dinar Castle       Settlement Information  Type Castle   Kingdom 4   Villages DinarKarahalli    Dinar Castle is a castle of the 4 owned by Ilatar Beg of the Baltait. The villages of Dinar and Karahalli are bound to the castle.
erzenur_castle,Erzenur Castle,Castle,4,Gusukan Beg,Erzenur Castle       Settlement Information  Type Castle   Kingdom 4   Villages ErzenurGereden    Erzenur Castle is a castle of the 4 owned by Gusukan Beg of the Oburit. The villages of Erzenur and Gereden are bound to the castle.
hakkun_castle,Hakkun Castle,Castle,4,Taslur Beg,Hakkun Castle       Settlement Information  Type Castle   Kingdom 4   Villages HakkunKiraz    Hakkun Castle is a castle of the 4 owned by Taslur Beg of the Yanserit. The villages of Hakkun and Kiraz are bound to the castle.
kaysar_castle,Kaysar Castle,Castle,4,Ilatar Beg,Kaysar Castle       Settlement Information  Type Castle   Kingdom 4   Villages KaysarPayam    Kaysar Castle is a castle of the 4 owned by Ilatar Beg of the Baltait. The villages of Kaysar and Payam are bound to the castle.
khimli_castle,Khimli Castle,Castle,4,Kanujan Beg,Khimli Castle       Settlement Information  Type Castle   Kingdom 4   Villages KhimliOmrotok    Khimli Castle is a castle of the 4 owned by Kanujan Beg of the Koltit. The villages of Khimli and Omrotok are bound to the castle.
simira_castle,Simira Castle,Castle,4,Kanujan Beg,Simira Castle       Settlement Information  Type Castle   Kingdom 4   Villages SimiraKohi Ajik    Simira Castle is a castle of the 4 owned by Kanujan Beg of the Koltit. The villages of Simira and Kohi Ajik are bound to the castle.
tepes_castle,Tepes Castle,Castle,4,Monchug Khan,Tepes Castle       Settlement Information  Type Castle   Kingdom 4   Villages TepesKuruluk    Tepes Castle is a castle of the 4 owned by Monchug Khan of the Urkhunait. The villages of Tepes and Kuruluk are bound to the town.
usek_castle,Usek Castle,Castle,4,Tulag Beg,Usek Castle       Settlement Information  Type Castle   Kingdom 4   Villages UsekEsme    Usek Castle is a castle of the 4 owned by Tulag Beg of the Arkit. The villages of Usek and Esme are bound to the castle.
mazhadan_castle,Mazhadan Castle,Castle,6,Grand Prince Raganvad,Mazhadan Castle       Settlement Information  Type Castle   Kingdom 6   Villages ForinMazhadan    Mazhadan Castle is a castle in 6 owned by Grand Prince Raganvad of clan Gundaroving. The villages of Forin and Mazhadan are bound to the castle.
kranirog_castle,Kranirog Castle,Castle,6,Rolan,Kranirog Castle  Settlement Information  Type Castle   Kingdom 6    Kranirog Castle is a castle of 6 owned by Rolan of the Kostoroving clan. The castle's bound villages are Kranirog and Ismilkorg.
nevyansk_castle,Nevyansk Castle,Castle,6,Grand Prince Raganvad,The castle watches over a contentious piece of territory separated from 6 proper. Reinforcements must pass through rugged 2n countryside to reach the castle.
ov_castle,Ov Castle,Castle,6,Vashorki,Ov Castle       Settlement Information  Type Castle   Kingdom 6   Villages OvFerth    Ov Castle is a castle in 6 owned by Vashorki of clan Vezhoving. It overlooks the land bridge which is the only passage from the western half of 6 to the eastern half.
takor_castle,Takor Castle,Castle,6,Knyaz Tovir,Takor Castle       Settlement Information  Type Castle   Kingdom 6   Villages TakorDvorusta    Takor Castle is a castle in 6 owned by Knyaz Tovir of clan Ubroving. The villages of Takor and Dvorusta are bound to the castle.
urikskala_castle,Urikskala Castle,Castle,6,Knyaz Godun,Urikskala Castle       Settlement Information  Type Castle   Kingdom 6   Villages UrikskalaAlov    Urikskala Castle is a castle in 6 owned by Knyaz Godun of clan Vagiroving. The villages of Urikskala and Alov are bound to the castle.
ustokol_castle,Ustokol Castle,Castle,6,Vyldur,Ustokol Castle  Settlement Information  Type Castle   Kingdom 6    Ustokol Castle is a castle within the Principality of 6 owned by Vyldur of the Togaroving clan. The castle's bound villages are Ustokol and Zhemyan.
vladiv_castle,Vladiv Castle,Castle,6,Knyaz Yorig,Vladiv Castle       Settlement Information  Type Castle   Kingdom 6   Villages VladivGlavstorm    Vladiv Castle is a castle in 6 owned by Knyaz Yorig of clan Ormidoving. The villages of Vladiv and Glavstrom are bound to the castle.
caleus_castle,Caleus Castle,Castle,7,The Baron Servic,Caleus Castle       Settlement Information  Type Castle   Kingdom 7   Villages Caleus and Deriat    Caleus Castle is a castle of the Kingdom of 7 ruled by the baron Servic of the clan dey Valant.
drapand_castle,Drapand Castle,Castle,7,Baron Aldric,Drapand Castle       Settlement Information  Type Castle   Kingdom 7   Villages DrapandValanby    Drapand Castle is a castle in 7 owned by Baron Aldric of House dey Tihr. The villages of Drapand and Valanby are bound to the castle.
hongard_castle,Hongard Castle,Castle,7,Baron Vartin,Hongard Castle       Settlement Information  Type Castle   Kingdom 7   Villages HongardFerton   Port No    Hongard Castle is a castle in 7 owned by Baron Vartin of House dey Jelind. The villages of Hongard and Ferton are bound to the castle.
ormanfard_castle,Ormanfard Castle,Castle,7,The Baron,"Ormanfard Castle       Settlement Information  Type Castle   Kingdom 7   Villages Ormanfard    Ormanfard Castle is a castle in 7 owned by the baron, Ecarand of House dey Folcun. It guards one of several mountain passes which leads from 2 into 7."
talivel_castle,Talivel Castle,Castle,7,King Derthert,"Talivel Castle       Settlement Information  Type Castle   Kingdom 7   Villages TalivelRodetan    Talivel Castle is a castle in 7 owned by King Derthert of House dey Meroc. The castle serves as a frontier stronghold for the 7ns, guarding one of the key mountain passes leading into 2, and is thus at risk of being attacked first should it come to war."
tirby_castle,Tirby Castle,Castle,7,The Baron,"Tirby Castle       Settlement Information  Type Castle   Kingdom 7   Villages Tirby and Sirindac    Tirby Castle is a castle in 7 owned by the baron, Ospir of the House dey Gunric. The villages of Tirby and Sirindac are both bound to the castle."
usanc_castle,Usanc Castle,Castle,7,Baron Berican,Usanc Castle       Settlement Information  Type Castle   Kingdom 7   Villages Usanc    Usanc Castle is a castle in 7 owned by Baron Berican of House dey Rothad. The village of Usanc is bound to the castle.
verecsand_castle,Verecsand Castle,Castle,7,The Baron,"Verecsand Castle       Settlement Information  Type Castle   Kingdom 7   Villages Verecsand and Marin    Verecsand Castle is a castle in 7 owned by the baron, Belgir of the House dey Fortes. The villages of Verecsand and Marin are bound to the castle."
ataconia_castle,Ataconia Castle,Castle,10,Manteos,"Ataconia Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages Ataconia, Potamis    Ataconia Castle is a castle of the Northern Calradic Empire owned by Manteos of the Argoros clan. The villages of Ataconia and Potamis are bound to the castle."
atriom_castle,Atriom Castle,Castle,10,,"Atrion Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages Atriom, Masangara    Atrion Castle is a castle of the Northern Calradic Empire."
gaos_castle,Gaos Castle,Castle,10,Archon Penton,Gaos Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages GaosThemys    Gaos Castle is a castle in the Northern Empire owned by Archon Penton of clan Neretzes. The villages of Gaos and Themys are bound to the castle.
epinosa_castle,Epinosa Castle,Castle,10,The Archon Tasynor,"Epinosa Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages Epinosa, Pons    Epinosa Castle is a castle of the Northern Calradic Empire owned by the archon Tasynor of the Phalentes clan. Along with Lochana Castle and Syratos Castle, Epinosa guards the northwestern frontier of the Empire against the bordering 6ns and 4s."
lochana_castle,Lochana Castle,Castle,10,Nicasor,"Lochana Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages LochanaNortanisa    Lochana Castle is a castle in the Northern Empire owned by Nicasor of clan Chonis. Along with Epinosa Castle and Syratos Castle, Lochana guards the northwestern frontier of the Empire against the bordering 6ns and 4."
mecalovea_castle,Mecalovea Castle,Castle,10,Emperor Lucon,Mecalovea Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages AgalmonMecalovea   Port Yes    Mecalovea Castle is a castle in the Northern Empire owned by Emperor Lucon of clan Osticos. The castle protects strategic river crossings between 6 and the Calradic Empire. The villages of Agalmon and Mecalovea are bound to the castle.
