village_id,name,culture_id,bound_to_settlement_id,primary_resource,description
ezbet_nahul,Ezbet Nahul,1,qasira,Grain,Ezbet Nahul  Settlement Information  Type Village   Kingdom 1   Fortification Qasira    Ezbet Nahul is a village in the 1 Sultanate ruled by the emir Talas of the Banu Atij. The village is bound to Qasira and is known to produce Grain.
abghan,Abghan,1,qasira,Fish,Abghan  Settlement Information  Type Village   Kingdom 1   Fortification Qasira    Abghan is a village in the 1 Sultanate ruled by the emir Talas of the Banu Atij. The village is bound to Qasira and is known to produce Fish.
tasheba,Tasheba,1,quyaz,Fish,"Tasheba lies on the western edges of the Bahr al-Yeshm. Fishermen venture out into the protected waters, gentle and calm for most of the year, for tuna and sardines.[1]"
baq,Baq,1,quyaz,Olives,"Baq slightly inland from the Bahr al-Yeshm sea, beneath the great granite outcrop of the Jabal Tamar Mountains. The seawinds bring the uplands here just enough rain to support the cultivation of olive trees.[1]"
hiblet,Hiblet,1,quyaz,Dates,Hiblet sits at the base of the granite outcrop known as the Jabal Tamar Mountains. Rainwater trapped in cracks in the rock is diverted to the village's date-palm gardens.[1]
mussum,Mussum,1,razih,Dates,"Mussum sits near the eastern coast of the Bahr al-Yeshm sea, where the 1 deserts give way to desert-steppe with scattered acacia and scrub. The villagers here sink wells to water their groves of date palms.[1]"
qablab,Qablab,1,razih,Salt,Qablab sits near a broad bay on the southern coast of the Perassic Sea. The low-lying coastline is well-suited to the construction of salt pans.[1]
doqa,Doqa,1,razih,Fish,"Doqa is a fishing village on the Bahr al-Yeshm sea. Villagers sail out in feluccas to harvest perch that sometimes grow as long as a man is tall, keeping an eye out for the salt-water crocodiles which live in the local inlets and marshes and which compete with them for their catch.[1]"
mijayit,Mijayit,1,sanala,Grain,Mijayit lies off of the estuary of the Damar River as it reaches the Bahr al-Yeshm sea. The rich silt deposits left by the river make this one of the most fertile regions of the 1 lands. [1]
hamoshawat,Hamoshawat,1,sanala,Grain,"Hamoshawat lies on the lower Damar River, just before it reaches the Bahr al-Yeshm sea. The rich silt deposits left by the river make this one of the most fertile regions of the 1 lands. [1]"
jahasim,Jahasim,1,sanala,Fish,"Jahasim sits on the southern shore of the sea that the 1 call the Bahr al-Yeshm. The warm waters abound in tuna, bonito, sardines, and other fish. [1]"
nahlan,Nahlan,1,sanala,Grain,"Nahlan sits on the floodplain of the Damar River as it cuts through the Jarjara Escarpment. This soil, refreshed yearly by the silt of the flooding river, produces bountiful crops of wheat. [1]"
geunat_nal,Geunat Nal,2,car_banseth,Furs,Geunat Nal  Settlement Information  Type Village   Kingdom 2   Fortification Car Banseth    Geunat Nal is a village in 2 owned by the chieftain Melidir of Clan fen Uvain. The village is bound to Car Banseth and known to produce Furs.
tor_leiad,Tor Leiad,2,car_banseth,Hardwood,Tor Leiad  Settlement Information  Type Village   Kingdom 2   Fortification Car Banseth    Tor Leiad is a village in 2 owned by the chieftain Melidir of Clan fen Uvain. The village is bound to Car Banseth and known to produce Hardwood.
bog_beth,Bog Beth,2,car_banseth,Furs,Bog Beth  Settlement Information  Type Village   Kingdom 2   Fortification Car Banseth    Bog Beth is a village in 2 owned by the chieftain Melidir of Clan fen Uvain. The village is bound to Car Banseth and known to produce Furs.
diantogmail,Diantogmail,2,dunglanys,Grapes,Diantogmail  Settlement Information  Type Village   Kingdom 2   Fortification Dunglanys    Diantogmail is a village of 2 owned by the chieftain Ergeon of the Clan fen Derngil. The village is bound to Dunglanys and known to produce Grapes.
glenlithrig,Glenlithrig,2,dunglanys,Hardwood,Glenlithrig  Settlement Information  Type Village   Kingdom 2   Fortification Dunglanys    Glenlithrig is a village of 2 owned by the chieftain Ergeon of the Clan fen Derngil. The village is bound to Dunglanys and known to produce Hardwood.
morihig,Morihig,2,dunglanys,Hogs,Morihig  Settlement Information  Type Village   Kingdom 2   Fortification Dunglanys    Morihig is a village of 2 owned by the chieftain Ergeon of the Clan fen Derngil. The village is bound to Dunglanys and known to produce Hogs.
ath_cafal,Ath Cafal,2,marunath,Clay,Ath Cafal  Settlement Information  Type Village   Kingdom 2   Fortification Marunath    Ath Cafal is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Marunath and is known to produce Clay.
beglomuar,Beglomuar,2,marunath,Iron Ore,Beglomuar  Settlement Information  Type Village   Kingdom 2   Fortification Marunath    Beglomuar is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Marunath and known to produce Iron Ore.
dalmengus,Dalmengus,2,marunath,Grain,"Dalmengus sits by the side of the Llyn Tywal, the Dark Lake at the center of the Uchalion massif. The flat, well-watered lands here are fertile and well-suited to wheat and barley.[1]"
ebereth,Ebereth,2,marunath,Hardwood,Ebereth  Settlement Information  Type Village   Kingdom 2   Fortification Marunath    Ebereth is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Marunath and known to produce Hardwood.
durn,Durn,2,pen_cannoc,Clay,Durn  Settlement Information  Type Village   Kingdom 2   Fortification Pen Cannoc    Durn is a village in 2 owned by the chieftain Aeron of Clan fen Giall. The village is bound to Pen Cannoc and known to produce Clay.
fenon_etir,Fenon Etir,2,pen_cannoc,Grapes,Fenon Etir       Settlement Information  Type Village   Kingdom 2   Fortification Pen Cannoc    Fenon Etir is a village in 2 owned by Mormaer Aeron of clan fen Giall. The village is bound to Pen Cannoc and known to produce Grapes.
gainseth,Gainseth,2,pen_cannoc,Clay,Gainseth  Settlement Information  Type Village   Kingdom 2    Gainseth is a village in 2 owned by the chieftain Aeron of Clan fen Giall. The village is bound to Pen Cannoc and known to produce Clay.
andurn,Andurn,2,seonon,Hardwood,Andurn  Settlement Information  Type Village   Kingdom 2   Fortification Seonon    Andurn is a village in 2 owned by the chieftain Luichan of the Clan fen Penraic. The village is bound to Seonon and known to produce Hardwood.
bryn_glas,Bryn Glas,2,seonon,Iron Ore,Bryn Glas  Settlement Information  Type Village   Kingdom 2   Fortification Seonon    Bryn Glas is a village in 2 owned by the chieftain Luichan of Clan fen Penraic. The village is bound to Seonon and known to produce Iron Ore.
mag_arba,Mag Arba,2,seonon,Clay,Mag Arba       Settlement Information  Type Village   Kingdom 2   Fortification Seonon    Mag Arba is a village in 2 owned by Mormaer Luichan of clan fen Penraic. The village is bound to Seonon and known to produce Clay.
swenryn,Swenryn,2,seonon,Horses,"Swenryn  Settlement Information  Type Village   Kingdom 2   Fortification Seonon    Swenryn is a village in 2 owned by the chieftain Luichan of Clan fen Penraic. The village is bound to Seonon and known to produce Horses, specifically 2n Ponies."
karakalat,Karakalat,4,akkalat,Horses,"Karakalat lies in a basin in the flat, eastern edges of the Devseg plateau. Until recently, this land was dominated by nomads, and it is still famous as a breeding ground for horses."
tismil,Tismil,4,akkalat,Sheep,"Tismil sits on the Ozu river, which drains the southern end of the Devseg plateau. The people of this land are sheep-herders, who have thrived under 4 overlordship as the khans keep nomadic raiders at bay.[1]"
fisnar,Fisnar,4,baltakhand,Sheep,"Fisnar sits alongside the Zakhan, a tributary of the Karakaz river. Though this valley is snowbound for much of the year, the spring grasses nonetheless sustain sizeable herds of sheep, the thick wool of which protects them from this land's icy winds."
ulaan,Ulaan,4,baltakhand,Flax,"Ulaan sits in the valley of the Karakaz river. The villagers, nomads who have recently been forced by the khans to settle, have learned to grow flax in this low-lying marshy land."
asalig,Asalig,4,baltakhand,Horses,"Asalig sits at the foot of Bars Dag, one of the peaks that marks the edge of the Devseg plateau. Villagers raise horses in the lower slopes, keeping watch for the snow leopards for which the peak is named.[1]"
okhutan,Okhutan,4,chaikand,Wheat,"Okhutan is a village at the center of a wheat-growing district on a narrow stretch of plain between the Akkan hills and Lake Tanaesis, which the 4 call the Tanaz Sea."
ispantar,Ispantar,4,chaikand,Sheep,"Ispantar is a village on a rocky spur of the Akkan hills overlooking Lake Tanaesis, which the 4 call the Tanaz Sea. The villagers here make most of their income from the raising of sheep."
pabastan,Pabastan,4,chaikand,Wheat,"Pabastan sits in the narrow plain between the Akkan hills and Lake Tanaesis, which the 4 call the Tanaz Sea. This land is fine country for wheat."
shapeshte,Shapeshte,4,makeb,,Shapeshte sits where the waters of the Zakhan River meet the Karakaz. The village makes its living from mining nearby salt deposits.[1]
hanekhy,Hanekhy,4,makeb,Iron,"Hanekhy sits atop a northern spur of the Akkan Hills. The reddish streaks in the soil and rocks testify to rich iron deposits, which are mined by the villagers.[1]"
mazen,Mazen,4,makeb,Fish,"The fishing village of Mazen sits on the northern end of Lake Tanaesis, which the 4 call the Tanaz Sea. The villagers set nets in the nearby Karakaz River to catch a variety of fish migrating to and from the lake.[1]"
danara,Danara,4,odokh,Salt,"Danara sits by the salt lake that the 4 know as Tsanga Nor, the pool that quenches no thirst. The villagers of these parts extract salt from the bitter waters."
ransam,Ransam,4,ortongard,Horses,"Ransam is in the southeastern plains of the Devseg plateau. Villagers, who not long ago still lived a nomadic lifestyle, specialize in the rearing of horses."
mivanjan,Mivanjan,4,ortongard,Sheep,"Mivanjan sits at the foot of the Sulun Dag mountains, that mark the eastern border of the Devseg plateau. Villagers, who not long ago still lived a nomadic lifestyle, raise sheep in the foothills."
urunjan,Urunjan,4,ortongard,Cows,"Urunjan near the western edge of the Devseg plateau, at the foot of the Akkan hills. Villagers raise cattle here that are bred to withstand both the hot summers and freezing winters."
marabrot,Marabrot,6,balgard,Iron,Marabrot sits on a high rocky ridge between the fjord known as Mazopor Bay and the Byalic Sea. This harsh land would probably not be settled where it not for the rich iron deposits in the hills.[1]
safna,Safna,6,balgard,Cows,Safna sits on a high ridge overlooking the rapids that link Lake Laconis to the narrow Mazopor Bay. Villagers rear cattle on the grassy shelfs overlooking the sea-cliffs.[1]
chornobas,Chornobas,6,omor,Grain,"Chornobas, or Blackwood, sits in lands cleared from the forests overlooking the cataract through which the Miron River empties into Lake Laconis. The villagers grow rye and barley in fields misted by the spray from the falls.[1]"
skorin,Skorin,6,omor,Fish,"Skorin sits on a promontory separating Dyatom Bay from the wider Lake Laconis. Villagers pull both freshwater flatfish from the shallow bay waters and bigger catch, including pike, from the main lake.[1]"
korsyas,Korsyas,6,revyl,Fish,"Korsyas sits near the narrowest part of the Bay of Varcheg. Villagers fish the waters to the west for cod, char, and other cold-water sea fish that venture into the bay.[1]"
karbur,Karbur,6,revyl,Grain,"Karbur sits at a plateau on the Kachyar Peninsula. Sheltered somewhat by a high ridge to their north, the villagers here raise barley and grain.[1]"
alebat,Alebat,6,sibir,Hardwood,"Alebat sits deep in the forests of northeastern 6. This isolated region has long been a refuge for those fleeing oppression or debt or bloodfeud across the northlands, and the dialect is strongly influenced by the tongue of the Vanni woodspeople.[1]"
radakmed,Radakmed,6,sibir,Cows,Radakmed sits in a basin amid the Chertyg Mountains. Villagers here grow flax in the marshy valley floor.[1]
kvol,Kvol,6,sibir,Cows,"The villagers of Kvol raise small, sturdy cattle at the base of the Chertyg Mountains. They include the descendants of refugees and malcontents from across Calradia, seeking isolation in the cold northern forests.[1]"
bukits,Bukits,6,tyal,Cows,"Bukits sits on the eastern slopes of Mount Iltan on the 4 frontier. Villagers raise highland cattle here, bred to withstand the icy gusts that tear down the mountain.[1]"
visibrot,Visibrot,6,tyal,Sheep,"Visibrot is a sheep-rearing village on the lower slopes of Mount Iltan, just below the network of glacial lakes known as the Portages of Iltan. Though this region is cold and remote, its importance as a trade juncture between Lake Laconis and Lake Tanaesis, between the Empire and the steppe, means that it is relatively densely populated.[1]"
kargrev,Kargrev,6,varcheg,Fish,"Kargrev was once 'Car Gryff', the ringfort of the 2n chief Gryff, but was conquered by the 6ns two generations ago. It lies alongside the Bay of Varcheg, where the local fishermen take advantage of the relatively sheltered waters of the bay, where fish of many kinds come to spawn.[1]"
rodobas,Rodobas,6,varcheg,Furs,"Rodobas, meaning 'the house of Obas', is named for a long-dead 6n hill chieftain. Perched high on a ridge overlooking the Ircara Wildlands, it serves as a base for trappers looking for furs in the dark woods below.[1]"
yangutum,Yangutum,6,varnovapol,Iron Ore,Yangutum sits in a nook of the Chertyg Mountains on the north shores of Lake Laconis. Villagers here have found iron ore deposits in the mountainsides.[1]
omkany,Omkany,6,varnovapol,Hogs,"Omkany lies where the Lake Laconis coastline rises up to meet the icy Chertyg Mountains. Villagers in this district raise hogs, curing their fat with salt and in garlic and selling it throughout the northlands.[1]"
borchovagorka,Borchovagorka,6,varnovapol,Fish,"Borchovagorka sits on a small rise on the steep northern shores of Lake Laconis. The village depends primarily on fishing, pulling perch, bream, salmon and occasionally large sturgeon and pike from the lake waters. [1]"
savinth,Savinth,7,charas,Horses,"Savinth  Settlement Information  Type Village   Kingdom 7   Fortification Charas    Savinth is a village in 7 owned by the baron, Ingalther of House dey Cortain. The village is bound to Charas and is known to produce Horses."
vesin,Vesin,7,charas,Olives,"Vesin  Settlement Information  Type Village   Kingdom 7   Fortification Charas    Vesin is a village in 7 owned by the baron, Ingalther of House dey Cortain. The village is bound to Charas and is known to produce Olives."
furbec,Furbec,7,galend,Grapes,Furbec  Settlement Information  Type Village   Kingdom 7   Fortification Galend    Furbec is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Galend and is known to produce Grapes.
meroc,Meroc,7,galend,Fish,Meroc  Settlement Information  Type Village   Kingdom 7   Fortification Galend    Meroc is a village of 7 owned by King Derthert of House dey Meroc. The village is bound to Galend and is known to produce Fish.
nogrent,Nogrent,7,galend,Sheep,Nogrent  Settlement Information  Type Village   Kingdom 7   Fortification Galend    Nogrent is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Galend and is known to produce Sheep.
arromanc,Arromanc,7,jaculan,Olives,Arromanc  Settlement Information  Type Village   Kingdom 7   Fortification Jaculan    Arromanc is a village in 7 owned by Calatild of House dey Arromanc. The village is bound to Jaculan and is known to produce Olives.
mot,Mot,7,jaculan,Sheep,Mot  Settlement Information  Type Village   Kingdom 7   Fortification Jaculan    Mot is a village in 7 owned by Calatild of House dey Arromanc. The village is bound to Jaculan and is known to produce Sheep.
alorstan,Alorstan,7,jaculan,Olives,Alorstan  Settlement Information  Type Village   Kingdom 7   Fortification Jaculan    Alorstan is a village in 7 owned by Calatild of House dey Arromanc. The village is bound to Jaculan and is known to produce Olives.
chornad,Chornad,7,jaculan,Pigs,Chornad  Settlement Information  Type Village   Kingdom 7   Fortification Jaculan    Chornad is a village in 7 owned by Calatild of House dey Arromanc. The village is bound to Jaculan and is known to produce Pigs.
mareiven,Mareiven,7,ocs_hall,Hardwood,"Mareiven  Settlement Information  Type Village   Kingdom 7   Fortification Ocs Hall    Mareiven is a village in 7 owned by the baron, Belgir of the House dey Fortes. The village is bound to Ocs Hall and is known to produce Hardwood."
oritan,Oritan,7,ocs_hall,Clay,"Oritan  Settlement Information  Type Village   Kingdom 7   Fortification Ocs Hall    Oritan is a village in 7 owned by the baron, Belgir of the House dey Fortes. The village is bound to Ocs Hall and is known to produce Clay."
fregian,Fregian,7,ocs_hall,Flax,"Fregian  Settlement Information  Type Village   Kingdom 7   Fortification Ocs Hall    Fregian is a village in 7 owned by the baron, Belgir of the House dey Fortes. The village is bound to Ocs Hall and is known to produce Flax."
horsger,Horsger,7,ostican,Fish,"Horsger is where, according to legend, the warrior Horsa came ashore and planted his spear in the beach. Today it is known for its daring fishermen, who venture out far to find banks, chilled by currents from the north, that are rich in cod."
cananc,Cananc,7,ostican,Grapes,"Cananc lies in the wet wooded hills of the northern Rhennod, where cedars grow tall in the sea-mists. The villagers trap beaver, marten and rabbit for their pelts."
remental,Remental,7,ostican,Olives,"Remental sits in a gap in the mountains of the Ebor peninsula. Towering fir and spruce grow on the slopes. Villagers trap fur-bearing animals like marten, rabbit and fox. This wild region has recently attracted many settlers drawn to the relative freedom of the woods, where the rule of the 7n barons is much lighter than in the south."
alantas,Alantas,7,rovalt,Iron Ore,"Alantas sits in the center of the mountainous Ebor peninsula. The soil here is thin and the weather here is cold, but rich iron deposits sustain the local economy.[1]"
halisvust,Halisvust,7,rovalt,Grain,"Halisvust  Settlement Information  Type Village   Kingdom 7   Fortification Rovalt    Halisvust is a village of 7 owned by the baron, Servic of House dey Valant. The village is bound to Rovalt and it is known to produce Grain."
calioc,Calioc,7,sargot,Flax,Calioc  Settlement Information  Type Village   Kingdom 7   Fortification Sargot    Calioc is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Sargot and is known to produce Flax.
etirburg,Etirburg,7,sargot,Grain,Etirburg  Settlement Information  Type Village   Kingdom 7   Fortification Sargot    Etirfurd is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Sargot and is known to produce Grain.
avasinton,Avasinton,10,amprela,Cotton,Avasinton  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Amprela    Avasinton is a village of the Northern Empire owned by Encurion of the Impestores clan. The village is bound to Amprela and it is known to produce Cotton.
boreagora,Boreagora,10,amprela,Flax,"Boreagora lies in the cold north of the Empire, by the network of glacial lakes known as the Portages of Iltan. Nearby imperial forts, looming over the waterways, keep watch for 6n and 4 raiders. The lowlands here are suited to the growing of flax.[1]"
alatys,Alatys,10,argoron,Fish,Alatys  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Argoros    Alatys is a village in the Northern Empire owned by Emperor Lucon of clan Osticos. The village is bound to Argoros and is known to produce Fish.
hetania,Hetania,10,argoron,Hardwood,Hetania  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Argoros    Hetania is a village in the Northern Empire owned by Emperor Lucon of clan Osticos. The village is bound to Argoros and is known to produce Hardwood.
alosea,Alosea,10,diathma,Fish,"Alosea lies near the entrance of the Diathmic Bay, on the far western end of Lake Laconis. The folk of this region live well off the pike and sturgeon of the lake.[1]"
jeracos,Jeracos,10,diathma,Horses,"Jeracos sits in meadowland in the northern piedmont of the Dryatic mountains. The climate, kept mild by the lake breezes, makes for good horse breeding.[1]"
gymos,Gymos,10,epicrotea,Fish,"Gymos is a quiet fishing village in the Diathmic Bay, on the far west of Lake Laconis. Villagers harvest pike from the bay's deep waters.[1]"
marathea,Marathea,10,epicrotea,Iron Ore,"Marathea lies on a narrow shelf of land between the Miron River and Mount Aracathos, the tallest peak in the Dryatic Mountains. The villagers are skilled miners, extracting iron ores from the nearby cliffside.[1]"
stathymos,Stathymos,10,epicrotea,Grain,"Stathymos lies in a narrow valley beneath a towering ridge of the Dryatic Mountains. The highland streams wash fertile soil down the hillsides, making this district one of the breadbaskets of the imperial north.[1]"
orthra,Orthra,10,myzea,Horses,Orthra  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Myzea    Orthra is a village of the Northern Empire owned by the archon Gyphor of the Dolentos clan. The village is bound to Myzea and is known to produce Horses.
samatha,Samatha,10,myzea,Raw Silk,"Samatha sits upon a sloping ridge in the sun-drenched highlands of the Myzead. The hillsides have been terraced to allow the growing of mulberry bushes. The leaves are harvested, placed in vats and fed to silkworms.[1]"
vealos,Vealos,10,myzea,Horses,Vealos  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Myzea    Vealos is a village of the Northern Empire owned by the archon Gyphor of the Dolentos clan. The village is bound to Myzea and is known to produce Horses.
crios,Crios,10,saneopa,Horses,Crios  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Saneopa    Crios is a village of the Northern Empire owned by the archon Penton of the Neretzes clan. The village is bound to Saneopa and known to produce Horses.
enoisa,Enoisa,10,saneopa,Grain,Enoisa  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Saneopa    Enoisa is a village of the Northern Empire owned by the archon Penton of the Neretzes clan. The village is bound to Saneopa and known to produce Grain.
ain_baliq,Ain Baliq,1,ain_baliq_castle,Horses,"Ain Baliq is clustered around a well in a wide valley that separates the Jarjara Escarpment from the Jabal Tamar Mountains to the west. The surrounding lands, though dry, produce enough grass in the spring to allow the breeding of horses.[1]"
deir_hawa,Deir Hawa,1,ain_baliq_castle,Silver Ore,Deir Hawa sits on the windswept southern shores of the sea that the 1 call the Bahr al-Yeshm. Villagers trap run-off water from the hills and grow flax in the lowlands here.[1]
barihal,Barihal,1,barihal_castle,Horses,The oasis-village of Barihal sits in a wadi amid the mesas of the Jarjara Escarpment. The land is best known for the horses that are grazed on the desert's short-lived but rich spring grasses.[1]
wadar,Wadar,1,barihal_castle,Horses,"Wadar sits in the rocky wadis at the inland edge of the Jarjara Escarpment, before it gives way to barren gravel plains and dunes. Clouds from the Bahr al-Yeshm drop their last reserves of water here in the spring and winter, giving the land just enough grass to support horse-rearing.[1]"
jamayeh,Jamayeh,1,jamayeh_castle,Olives,"Jamayeh sits on the southern shores of the sea that the 1 call the Bahr al Yeshm, the Jade Sea. The climate is well-suited to olive trees that thrive despite the short rainy season. [1]"
hunab,Hunab,1,jamayeh_castle,Dates,Hunab  Settlement Information  Type Village   Kingdom 1   Fortification Jamayeh Castle    Hunab is a village in the 1 Sultanate ruled by the emir Suruq of the Banu Qaraz. The village is bound to Jamayeh Castle and is known to produce Dates.
medeni,Medeni,1,medeni_castle,Dates,Medeni sits in lowlands between the Bahr al-Yeshm sea and the Jarjara Escarpment. Villagers grow dates by the coast in gardens watered by wells and small dams in the wadis that trap run-off from the cliffs during the short rainy season. [1]
qidnar,Qidnar,1,medeni_castle,Grain,"Qidnar lies in the floodplain of the Damar River, the most densely populated part of the 1 lands, where it slices through the Jarjara Escarpment. Farmers here grow grain in the rich silt brought by the river's annual flooding. [1]"
sahel,Sahel,1,sahel_castle,Grain,Sahel       Settlement Information  Type Village   Kingdom 1   Fortification Sahel Castle    Sahel is a village of the 1 owned by Emir Tais of the Banu Qild. The village is bound to Sahel Castle and known to produce Grain.
asmait,Asmait,1,sahel_castle,Dates,"Asmait lies in a nook of the Jabal Ashabi Mountains, bordered to the south by the deep desert. Villagers trap floods running down the hills during rare rainstorms, using the water to grow date palms and other crops.[1]"
shibal_zumr,Shibal Zumr,1,shibal_zumr_castle,Grain,"Shibal Zumr sits on the Nahr al-Kals, the river of lime. Here the waters are pure and the soil is fertile, and grain is grown. But a short distance to the south, the land becomes barren and alkaline, and only the hardiest crops survive.[1]"
lamesa,Lamesa,1,shibal_zumr_castle,Desert Horses,Lamesa sits amid open plains and patches of dry acacia forest on the eastern shores of the Bahr al-Yeshm. Some of the 1's most prized horses graze on the grasses of this district.[1]
tamnuh,Tamnuh,1,tamnuh_castle,Clay,"Tamnuh sits near a large lagoon, cut off from the Perassic Sea by a sandspit. Villagers scrape clay from the shallow waters to sell to the region's potters.[1]"
kuqa,Kuqa,1,tamnuh_castle,Dates,"Kuqa sits at the foot of a range of low hills east of the Bahr al-Yeshm sea, where the 1 deserts give way to desert-steppe with scattered acacia and scrub. The villagers here sink wells to water their groves of date palms.[1]"
fanab,Fanab,1,tubilis_castle,Flax,Fanab sits in a low promontory between the bay that the 1 call the Gulf of Shiraz and the inner sea of the Bahr al-Yeshm.  The seawinds bring just enough rain to support the cultivation of olive trees.[1]
tubilis,Tubilis,1,tubilis_castle,Fish,"Tubilis lies on the Gulf of Charas, which the 1 call the Gulf of Shariz. Villagers go fishing here amid the offshore islands in search of tuna, sardines, and shark.[1]"
uqba,Uqba,1,uqba_castle,Dates,Uqba sits alongside the Perassic Sea. Villagers trap rainwater and runoff from the hills to water their fields and their gardens of date-palms.[1]
bunqaz,Bunqaz,1,uqba_castle,Olives,"Bunqaz sits at the mouth of the great wadi that divides the Jarjara Escarpment from the Jabal Tamar Mountains. Villagers sink wells here to tap the wadi's groundwater, using it to irrigate their olive groves.[1]"
ab_comer,Ab Comer,2,ab_comer_castle,Grapes,Ab Comer       Settlement Information  Type Village   Kingdom 2   Fortification Ab Comer Castle    Ab Comer is a village in 2 owned by Mormaer Maireas of clan fen Caernacht. The village is bound to Ab Comer Castle and known to produce Grapes.
inveth,Inveth,2,ab_comer_castle,Grain,Inveth       Settlement Information  Type Village   Kingdom 2   Fortification Ab Comer Castle    Inveth is a village in 2 owned by Mormaer Maireas of clan fen Caernacht. The village is bound to Ab Comer Castle and known to produce Grain.
aster,Aster,2,aster_castle,Flax,Aster  Settlement Information  Type Village   Kingdom 2   Fortification Aster Castle    Aster is a village within the lands of 2 owned by the chieftain Ergeon of Clan fen Derngil. The village is bound to Aster Castle and known to produce Flax.
imlagh,Imlagh,2,aster_castle,Grapes,Imlagh  Settlement Information  Type Village   Kingdom 2   Fortification Aster Castle    Imlagh is a village within the lands of 2 owned by the chieftain Ergeon of Clan fen Derngil. The village is bound to Aster Castle and known to produce Grapes.
druimmor,Druimmor,2,druimmor_castle,Silver Ore,Druimmor  Settlement Information  Type Village   Kingdom 2   Fortification Druimmor Castle    Druimmor is a village of 2 owned by the chieftain Aradwyr of the Clan fen Eingal.  The village is bound to Druimmor Castle and is known to produce Silver Ore.
tor_melina,Tor Melina,2,druimmor_castle,Cotton,Tor Melina  Settlement Information  Type Village   Kingdom 2   Fortification Druimmor Castle    Tor Melina is a village of 2 owned by the chieftain Aradwyr of clan fen Eingal. The village is bound to Druimmor Castle and is known to produce Cotton.
flintolg,Flintolg,2,flintolg_castle,Hardwood,Flintolg  Settlement Information  Type Village   Kingdom 2   Fortification Flintolg Castle    Flintolg is a village within the lands of 2 owned by the chieftain Luichan of Clan fen Penraic. The village is bound to Flintolg Castle and it is known to produce Hardwood.
glintor,Glintor,2,flintolg_castle,Horses,"Glintor sits overlooking the rapids of the Fiur river, where the waters of Llyn Tywal descend to enter the Bay of Varcheg. Horses are raised on the downs, much prized by both raiders and traders from the 6n lands to the north."
